rank,file,folder,affinity_kcal_mol,Kd_M,full_path
145,CD39_nanobody_99.pdb,CD39_nanobody_150_2,-6.5,1.8e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_99.pdb
146,CD39_nanobody_125.pdb,CD39_nanobody_150_2,-6.4,2.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_125.pdb
147,CD39_nanobody_145.pdb,CD39_nanobody_150,-6.4,1.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_145.pdb
148,CD39_nanobody_26.pdb,CD39_nanobody_150_2,-6.4,2.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_26.pdb
149,CD39_nanobody_42.pdb,CD39_nanobody_150_2,-6.4,1.9e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_42.pdb
150,CD39_nanobody_45.pdb,CD39_nanobody_150,-6.4,2.1e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_45.pdb
151,CD39_nanobody_75.pdb,CD39_nanobody_150,-6.4,2.0e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_75.pdb
152,CD39_nanobody_0.pdb,CD39_nanobody_150,-6.3,2.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_0.pdb
153,CD39_nanobody_106.pdb,CD39_nanobody_150,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_106.pdb
154,CD39_nanobody_118.pdb,CD39_nanobody_150,-6.3,2.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_118.pdb
155,CD39_nanobody_136.pdb,CD39_nanobody_150_2,-6.3,2.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_136.pdb
156,CD39_nanobody_138.pdb,CD39_nanobody_150,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_138.pdb
157,CD39_nanobody_149.pdb,CD39_nanobody_150_2,-6.3,2.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_149.pdb
158,CD39_nanobody_16.pdb,CD39_nanobody_150,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_16.pdb
159,CD39_nanobody_2.pdb,CD39_nanobody_150_2,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_2.pdb
160,CD39_nanobody_22.pdb,CD39_nanobody_150_2,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_22.pdb
161,CD39_nanobody_33.pdb,CD39_nanobody_150,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_33.pdb
162,CD39_nanobody_58.pdb,CD39_nanobody_150_2,-6.3,2.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_58.pdb
163,CD39_nanobody_59.pdb,CD39_nanobody_150,-6.3,2.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_59.pdb
164,CD39_nanobody_67.pdb,CD39_nanobody_150_2,-6.3,2.4e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_67.pdb
165,CD39_nanobody_7.pdb,CD39_nanobody_150,-6.3,2.3e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_7.pdb
166,CD39_nanobody_79.pdb,CD39_nanobody_150_2,-6.3,2.5e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150_2/CD39_nanobody_79.pdb
167,CD39_nanobody_81.pdb,CD39_nanobody_150,-6.3,2.2e-05,/mnt/JL_Chong/PPIFlow-main/output/CD39_nanobody_150/CD39_nanobody_81.pdb
